County,FIPS Code,Population 2018,Rank
"Tulare County, CA",6107,"465,861",151
"Washoe County, NV",32031,"465,735",152
"Knox County, TN",47093,"465,289",153
"Onondaga County, NY",36067,"461,809",154
"Virginia Beach Independent City, VA",51810,"450,189",155
"York County, PA",42133,"448,273",156
"Pinal County, AZ",4021,"447,138",157
"Solano County, CA",6095,"446,610",158
"Santa Barbara County, CA",6083,"446,527",159
"Burlington County, NJ",34005,"445,384",160
"East Baton Rouge Parish, LA",22033,"440,956",161
"Monterey County, CA",6053,"435,594",162
"Jefferson Parish, LA",22051,"434,051",163
"Lucas County, OH",39095,"429,899",164
"Sarasota County, FL",12115,"426,718",165
"Dakota County, MN",27037,"425,423",166
"Cameron County, TX",48061,"423,908",167
"Berks County, PA",42011,"420,152",168
"Clackamas County, OR",41005,"416,075",169
"Hillsborough, NH",33011,"415,247",170
"Richland County, SC",45079,"414,576",171
"Mobile County, AL",1097,"413,757",172
"Genesee County, MI",26049,"406,892",173
"Loudoun County, VA",51107,"406,850",174
"Charleston County, SC",45019,"405,905",175
"Waukesha, WI",55133,"403,072",176
"St. Charles County, MO",29183,"399,182",177
"Manatee County, FL",12081,"394,855",178
"Placer County, CA",6061,"393,149",179
"Pulaski County, AR",5119,"392,680",180
"Orleans Parish, LA",22071,"391,006",181
"Butler County, OH",39017,"382,378",182
"Orange County, NY",36071,"381,951",183
"Lane County, OR",41039,"379,611",184
"Forsyth County, NC",37067,"379,099",185
"Collier County, FL",12021,"378,488",186
"Allen County, IN",18003,"375,351",187
"Stark County, OH",39151,"371,574",188
"Washtenaw County, MI",26161,"370,963",189
"Brazoria County, TX",48039,"370,200",190
"Mercer County, NJ",34021,"369,811",191
"Lehigh County, PA",42077,"368,100",192
"Osceola County, FL",12097,"367,990",193
"Madison County, AL",1089,"366,519",194
"Hamilton County, TN",47065,"364,286",195
"Nueces County, TX",48355,"362,265",196
"Marion County, FL",12083,"359,977",197
"Lake County, FL",12069,"356,495",198
"Bell County, TX",48027,"355,642",199
"Anoka County, MN",27003,"353,813",200
"Davis County, UT",49011,"351,713",201
"Westmoreland County, PA",42129,"350,611",202
"Larimer County, CO",8069,"350,518",203
"Chesterfield County, VA",51041,"348,556",204
"Marion County, OR",41047,"346,868",205
"Horry County, SC",45051,"344,147",206
"Douglas County, CO",8035,"342,776",207
"Galveston County, TX",48167,"337,890",208
"Cumberland County, NC",37051,"332,330",209
"Somerset County, NJ",34035,"331,164",210
"Hamilton County, IN",18057,"330,086",211
"Henrico County, VA",51087,"329,261",212
"Boulder County, CO",8013,"326,078",213
"Rockland County, NY",36087,"325,695",214
"Rutherford County, TN",47149,"324,890",215
"Fayette County, KY",21067,"323,780",216
"Howard County, MD",24027,"323,196",217
"St. Lucie County, FL",12111,"321,128",218
"Luzerne County, PA",42079,"317,646",219
"Lancaster County, NE",31109,"317,272",220
"Durham County, NC",37063,"316,739",221
"Escambia County, FL",12033,"315,534",222
"Weld County, CO",8123,"314,305",223
"Spartanburg County, SC",45083,"313,888",224
"Lorain County, OH",39093,"309,461",225
"Rockingham, NH",33015,"309,176",226
"McHenry County, IL",17111,"308,570",227
"Lubbock County, TX",48303,"307,412",228
"Albany County, NY",36001,"307,117",229
"Northampton County, PA",42095,"304,807",230
"St. Louis City County, MO",29510,"302,838",231
"Lexington County, SC",45063,"295,032",232
"Dutchess County, NY",36027,"293,718",233
"Cumberland County, ME",23005,"293,557",234
"Ingham County, MI",26065,"292,735",235
"Leon County, FL",12073,"292,502",236
"Greene County, MO",29077,"291,923",237
"Anchorage Borough, AK",2020,"291,538",238
"Gloucester County, NJ",34015,"291,408",239
"Ottawa County, MI",26139,"290,494",240
"Clayton County, GA",13063,"289,615",241
"Chatham County, GA",13051,"289,195",242
"Thurston County, WA",53067,"286,419",243
"Winnebago County, IL",17201,"284,081",244
"San Luis Obispo County, CA",6079,"284,010",245
"Cleveland County, OK",40027,"281,669",246
"Dauphin County, PA",42043,"277,097",247
"Webb County, TX",48479,"275,910",248
"Merced County, CA",6047,"274,765",249
"Santa Cruz County, CA",6087,"274,255",250
"York County, SC",45091,"274,118",251
"Benton County, AR",5007,"272,608",252
"Erie County, PA",42049,"272,061",253
"St. Joseph County, IN",18141,"270,771",254
"Alachua County, FL",12001,"269,956",255
"Kitsap County, WA",53035,"269,805",256
"New London County, CT",9011,"266,784",257
"Atlantic County, NJ",34001,"265,429",258
"Kalamazoo County, MI",26077,"264,870",259
"Madison County, IL",17119,"264,461",260
"Brown, WI",55009,"263,378",261
"St. Clair County, IL",17163,"261,059",262
"Marin County, CA",6041,"259,666",263
"Washington County, MN",27163,"259,201",264
"Buncombe County, NC",37021,"259,103",265
"St. Tammany Parish, LA",22103,"258,111",266
"Weber County, UT",49057,"256,359",267
"Frederick County, MD",24021,"255,648",268
"Jefferson County, TX",48245,"255,001",269
"McLennan County, TX",48309,"254,607",270
"St. Johns County, FL",12109,"254,261",271
"Cherokee County, GA",13057,"254,149",272
"Harford County, MD",24025,"253,956",273
"Yakima County, WA",53077,"251,446",274
