County,FIPS Code,Population 2018,Rank
"Muskingum County, OH",39119,"86,183",675
"Twin Falls County, ID",16083,"86,081",676
"Nassau County, FL",12089,"85,832",677
"Polk County, OR",41053,"85,234",678
"Glynn County, GA",13127,"85,219",679
"Lee County, MS",28081,"85,202",680
"Jefferson, WI",55055,"85,129",681
"Crawford County, PA",42039,"85,063",682
"Indiana County, PA",42063,"84,501",683
"Island County, WA",53029,"84,460",684
"Chemung County, NY",36015,"84,254",685
"Wood County, WV",54107,"84,203",686
"Lincoln County, NC",37109,"83,770",687
"Orange County, TX",48361,"83,572",688
"Cullman County, AL",1043,"83,442",689
"Midland County, MI",26111,"83,209",690
"St. Landry Parish, LA",22097,"82,764",691
"Bartholomew County, IN",18005,"82,753",692
"Newport County, RI",44005,"82,542",693
"Howard County, IN",18067,"82,366",694
"Henderson County, TX",48213,"82,299",695
"Payne County, OK",40119,"82,040",696
"Caldwell County, NC",37027,"82,029",697
"Elmore County, AL",1051,"81,887",698
"Cascade County, MT",30013,"81,643",699
"Wilson County, NC",37195,"81,455",700
"Leavenworth County, KS",20103,"81,352",701
"Bullitt County, KY",21029,"81,069",702
"Barrow County, GA",13013,"80,809",703
"Clinton County, NY",36019,"80,695",704
"Wagoner County, OK",40145,"80,110",705
"York + Poquoson, VA",51958,"80,036",706
"Talladega County, AL",1121,"79,828",707
"Lewis County, WA",53041,"79,604",708
"Clearfield County, PA",42033,"79,388",709
"Kosciusko County, IN",18085,"79,344",710
"Clinton County, MI",26037,"79,332",711
"Natrona County, WY",56025,"79,115",712
"Manitowoc, WI",55071,"79,074",713
"Putnam County, TN",47141,"78,843",714
"Cape Girardeau County, MO",29031,"78,753",715
"Bedford + Bedford City, VA",51019,"78,747",716
"White County, AR",5145,"78,727",717
"Oconee County, SC",45073,"78,374",718
"Yuba County, CA",6115,"78,041",719
"Dinwiddie, Colonial Heights + Petersburg, VA",51918,"77,929",720
"Floyd County, IN",18043,"77,781",721
"Umatilla County, OR",41059,"77,516",722
"Bulloch County, GA",13031,"77,296",723
"Cayuga County, NY",36011,"77,145",724
"Chelan County, WA",53007,"77,036",725
"Ross County, OH",39141,"76,931",726
"Cattaraugus County, NY",36009,"76,840",727
"Vermilion County, IL",17183,"76,806",728
"Cole County, MO",29051,"76,796",729
"Clallam County, WA",53009,"76,737",730
"Cheshire, NH",33005,"76,493",731
"Anderson County, TN",47001,"76,482",732
"Valencia County, NM",35061,"76,456",733
"Hancock County, IN",18059,"76,351",734
"Hancock County, OH",39063,"75,930",735
"Scioto County, OH",39145,"75,502",736
"Sullivan County, NY",36105,"75,498",737
"Van Buren County, MI",26159,"75,448",738
"Lauderdale County, MS",28075,"75,317",739
"Forrest County, MS",28035,"75,036",740
"Monroe County, FL",12087,"75,027",741
"Coryell County, TX",48099,"74,808",742
"Erie County, OH",39043,"74,615",743
"Raleigh County, WV",54081,"74,254",744
"Putnam County, FL",12107,"74,163",745
"Somerset County, PA",42111,"73,952",746
"Grays Harbor County, WA",53027,"73,901",747
"Riley County, KS",20161,"73,703",748
"Lonoke County, AR",5085,"73,657",749
"Chatham County, NC",37037,"73,139",750
"Wood, WI",55141,"73,055",751
"Pottawatomie County, OK",40125,"72,679",752
"Walker County, TX",48471,"72,480",753
"McKinley County, NM",35031,"72,290",754
"Kauai County, HI",15007,"72,133",755
"Surry County, NC",37171,"71,948",756
"Apache County, AZ",4001,"71,818",757
"Christian County, KY",21047,"71,671",758
"Creek County, OK",40037,"71,604",759
"DeKalb County, AL",1049,"71,385",760
"Walton County, FL",12131,"71,375",761
"Robertson County, TN",47147,"71,012",762
"Allegany County, MD",24001,"70,975",763
"Franklin County, MA",25011,"70,963",764
"Portage, WI",55097,"70,942",765
"Iberia Parish, LA",22045,"70,941",766
"Washington + Bristol, VA",51953,"70,884",767
"Madison County, NY",36053,"70,795",768
"Grand Forks County, ND",38035,"70,770",769
"Greenwood County, SC",45047,"70,741",770
"Fauquier County, VA",51061,"70,675",771
"Isabella County, MI",26073,"70,562",772
"Columbia County, FL",12023,"70,503",773
"Jackson County, GA",13157,"70,422",774
"Morgan County, IN",18109,"70,116",775
"Troup County, GA",13285,"70,034",776
"Tooele County, UT",49045,"69,907",777
"Lea County, NM",35025,"69,611",778
"Carteret County, NC",37031,"69,524",779
"Walker County, GA",13295,"69,410",780
"Broomfield County, CO",8014,"69,267",781
"Greene County, TN",47059,"69,087",782
"Lewis and Clark County, MT",30049,"68,700",783
"Wilkes County, NC",37193,"68,557",784
"Jones County, MS",28067,"68,461",785
"Muskogee County, OK",40101,"68,362",786
"Wise County, TX",48497,"68,305",787
"Shiawassee County, MI",26155,"68,192",788
"Jefferson County, AR",5069,"68,114",789
"Ward County, ND",38101,"67,744",790
"Klamath County, OR",41035,"67,653",791
"Franklin County, NC",37069,"67,560",792
"Harrison County, WV",54033,"67,554",793
"Belmont County, OH",39013,"67,505",794
"Blue Earth County, MN",27013,"67,427",795
"Catoosa County, GA",13047,"67,420",796
"Aroostook County, ME",23003,"67,111",797
"Williamson County, IL",17199,"67,056",798
"Boone County, IN",18011,"66,999",799
"Laurens County, SC",45059,"66,994",800
"San Patricio County, TX",48409,"66,893",801
"Rutherford County, NC",37161,"66,826",802
"Darlington County, SC",45031,"66,802",803
"Otero County, NM",35035,"66,781",804
"Butler County, KS",20015,"66,765",805
"Harrison County, TX",48203,"66,726",806
"St. Francois County, MO",29187,"66,692",807
"Rice County, MN",27131,"66,523",808
"Marquette County, MI",26103,"66,516",809
"Oldham County, KY",21185,"66,470",810
"Spalding County, GA",13255,"66,100",811
"Grant County, IN",18053,"65,936",812
"Wayne County, IN",18177,"65,936",812
"Athens County, OH",39009,"65,818",814
"Jefferson County, OH",39081,"65,767",815
"Nacogdoches County, TX",48347,"65,711",816
"Adams County, IL",17001,"65,691",817
"Kershaw County, SC",45055,"65,592",818
"Mason County, WA",53045,"65,507",819
"Columbia County, PA",42037,"65,456",820
"McCracken County, KY",21145,"65,346",821
"Armstrong County, PA",42005,"65,263",822
"Marion County, OH",39101,"65,256",823
"Crow Wing County, MN",27035,"64,889",824
"Chaves County, NM",35005,"64,689",825
"Pulaski County, KY",21199,"64,623",826
"Hamblen County, TN",47063,"64,569",827
"Starr County, TX",48427,"64,525",828
"Coos County, OR",41011,"64,389",829
"Lake County, CA",6033,"64,382",830
"Warren County, NY",36113,"64,265",831
"Sauk, WI",55111,"64,249",832
"Carbon County, PA",42025,"64,227",833
"Ionia County, MI",26067,"64,210",834
"Chippewa, WI",55017,"64,135",835
"Pope County, AR",5115,"64,000",836
"Montcalm County, MI",26117,"63,968",837
"Clay County, MN",27027,"63,955",838
"Tehama County, CA",6103,"63,916",839
"Henry + Martinsville, VA",51929,"63,855",840
"Walker County, AL",1127,"63,711",841
"Sampson County, NC",37163,"63,626",842
"Crawford County, AR",5033,"63,406",843
"Livingston County, NY",36051,"63,227",844
"Salem County, NJ",34033,"62,607",845
"Warrick County, IN",18173,"62,567",846
"Lamar County, MS",28073,"62,447",847
"Reno County, KS",20155,"62,342",848
"Georgetown County, SC",45043,"62,249",849
"Effingham County, GA",13103,"62,190",850
"Acadia Parish, LA",22001,"62,190",850
"Pender County, NC",37141,"62,162",852
"Stanly County, NC",37167,"62,075",853
"Haywood County, NC",37087,"61,971",854
"Knox County, OH",39083,"61,893",855
"Herkimer County, NY",36043,"61,833",856
"Hall County, NE",31079,"61,607",857
"Tipton County, TN",47167,"61,581",858
"San Benito County, CA",6069,"61,537",859
"Liberty County, GA",13179,"61,497",860
"Lee County, NC",37105,"61,452",861
"Washington County, NY",36115,"61,197",862
"Barry County, MI",26015,"61,157",863
"St. Joseph County, MI",26149,"61,043",864
"Belknap, NH",33001,"61,022",865
"Walla Walla County, WA",53071,"60,922",866
"Garfield County, OK",40047,"60,913",867
"Bradford County, PA",42015,"60,833",868
"Prince George + Hopewell, VA",51941,"60,678",869
"Laurel County, KY",21125,"60,669",870
"Hood County, TX",48221,"60,537",871
"Washington County, OH",39167,"60,155",872
"Granville County, NC",37077,"60,115",873
"Columbia County, NY",36021,"59,916",874
"Lawrence County, OH",39087,"59,866",875
"Vermilion Parish, LA",22113,"59,830",876
"Garfield County, CO",8045,"59,770",877
"Otsego County, NY",36077,"59,749",878
"Cumberland County, TN",47035,"59,673",879
"Mercer County, WV",54055,"59,131",880
"Lowndes County, MS",28087,"58,930",881
"Duplin County, NC",37061,"58,856",882
"Otter Tail County, MN",27111,"58,812",883
"Lincoln County, SD",46083,"58,807",884
"Sandusky County, OH",39143,"58,799",885
"Rutland County, VT",50021,"58,672",886
"Kenai Peninsula Borough, AK",2122,"58,533",887
"Huron County, OH",39077,"58,504",888
"Maverick County, TX",48323,"58,485",889
"Pike County, KY",21195,"58,402",890
"Newton County, MO",29145,"58,266",891
"Washington County, VT",50023,"58,140",892
"Pickaway County, OH",39129,"58,086",893
"Anderson County, TX",48001,"58,057",894
"Eddy County, NM",35015,"57,900",895
"Blount County, AL",1009,"57,840",896
"Union County, OH",39159,"57,835",897
"Russell County, AL",1113,"57,781",898
"Lincoln County, MO",29113,"57,686",899
"Gordon County, GA",13129,"57,685",900
"Oxford County, ME",23017,"57,618",901
"Genesee County, NY",36037,"57,511",902
"Jackson County, IL",17077,"57,419",903
"Columbia, WI",55021,"57,358",904
"Hardin County, TX",48199,"57,207",905
"Cherokee County, SC",45021,"57,078",906
"Jefferson County, WV",54037,"56,811",907
"Putnam County, WV",54079,"56,682",908
"Hawkins County, TN",47073,"56,530",909
"Carter County, TN",47019,"56,351",910
"La Plata County, CO",8067,"56,310",911
"Franklin County, VA",51067,"56,195",912
"Marion County, WV",54049,"56,097",913
"Scott County, KY",21209,"56,031",914
"Van Zandt County, TX",48467,"56,019",915
"Lenoir County, NC",37107,"55,976",916
"Watauga County, NC",37189,"55,945",917
"Pike County, PA",42103,"55,933",918
"Chisago County, MN",27025,"55,922",919
"Taney County, MO",29213,"55,852",920
"Lyon County, NV",32019,"55,808",921
"Coffee County, TN",47031,"55,700",922
"Columbus County, NC",37047,"55,655",923
"Whiteside County, IL",17195,"55,626",924
"Autauga County, AL",1001,"55,601",925
"Grady County, OK",40051,"55,551",926
"Carson City County, NV",32510,"55,414",927
"Pearl River County, MS",28109,"55,387",928
"Windsor County, VT",50027,"55,286",929
"Seneca County, OH",39147,"55,207",930
"Eagle County, CO",8037,"54,993",931
"Box Elder County, UT",49003,"54,950",932
"Hancock County, ME",23009,"54,811",933
"Lafayette County, MS",28071,"54,793",934
"Hoke County, NC",37093,"54,764",935
"Colbert County, AL",1033,"54,762",936
"Tuolumne County, CA",6109,"54,539",937
"Rusk County, TX",48401,"54,450",938
"Saline County, KS",20169,"54,401",939
"Jefferson County, TN",47089,"54,012",940
"Jessamine County, KY",21113,"53,920",941
"Gila County, AZ",4007,"53,889",942
"Ashland County, OH",39005,"53,745",943
"Camden County, GA",13039,"53,677",944
"Johnson County, MO",29101,"53,652",945
"St. Martin Parish, LA",22099,"53,621",946
"Fulton County, NY",36035,"53,591",947
"Boone County, IL",17007,"53,577",948
"Dickson County, TN",47043,"53,446",949
"McMinn County, TN",47107,"53,285",950
"Roane County, TN",47145,"53,140",951
"Waller County, TX",48473,"53,126",952
"Loudon County, TN",47105,"53,054",953
"St. Charles Parish, LA",22089,"52,879",954
"Iron County, UT",49021,"52,775",955
"Cherokee County, TX",48073,"52,592",956
"Tuscola County, MI",26157,"52,516",957
"Elko County, NV",32007,"52,460",958
"Kerr County, TX",48265,"52,405",959
"Columbia County, OR",41009,"52,377",960
"Pulaski County, MO",29169,"52,014",961
"Edgecombe County, NC",37065,"52,005",962
"Coffee County, AL",1031,"51,909",963
"Culpeper County, VA",51047,"51,859",964
"Washington County, OK",40147,"51,843",965
"Worcester County, MD",24047,"51,823",966
"Jackson County, AL",1071,"51,736",967
"Cass County, MI",26027,"51,653",968
"Grant, WI",55043,"51,554",969
"Darke County, OH",39037,"51,323",970
"Wayne County, PA",42127,"51,276",971
"Venango County, PA",42121,"51,266",972
"Waupaca, WI",55135,"51,128",973
"Warren County, IA",19181,"51,056",974
"Grundy County, IL",17063,"50,972",975
"Ogle County, IL",17141,"50,923",976
"Medina County, TX",48325,"50,921",977
"Coles County, IL",17029,"50,885",978
"Winona County, MN",27169,"50,825",979
"Franklin County, KY",21073,"50,815",980
"Somerset County, ME",23025,"50,592",981
"Halifax County, NC",37083,"50,574",982
"Atascosa County, TX",48013,"50,310",983
"Franklin County, NY",36033,"50,293",984
"Queen Anne's County, MD",24035,"50,251",985
"Wilson County, TX",48493,"50,224",986
"Calumet, WI",55015,"50,159",987
"Knox County, IL",17095,"50,112",988
"Polk County, TX",48373,"50,031",989
"Le Flore County, OK",40079,"49,980",990
"Whitman County, WA",53075,"49,791",991
"St. Mary Parish, LA",22101,"49,774",992
"Lamar County, TX",48277,"49,728",993
"Buffalo County, NE",31019,"49,615",994
"Oktibbeha County, MS",28105,"49,599",995
"Dearborn County, IN",18029,"49,568",996
"Navarro County, TX",48349,"49,565",997
"Montgomery County, NY",36057,"49,455",998
"Curry County, NM",35009,"49,437",999
"Franklin County, VT",50011,"49,421",1000
"Lincoln County, OR",41041,"49,388",1001
"Val Verde County, TX",48465,"49,208",1002
"Henry County, IL",17073,"49,090",1003
"Gibson County, TN",47053,"49,045",1004
"Bedford County, TN",47003,"49,038",1005
"Dale County, AL",1045,"48,956",1006
"Newaygo County, MI",26123,"48,892",1007
"Vernon Parish, LA",22115,"48,860",1008
"Carroll, NH",33003,"48,779",1009
"Cherokee County, OK",40021,"48,675",1010
"Bristol County, RI",44001,"48,649",1011
"Shelby County, OH",39149,"48,627",1012
"Tioga County, NY",36107,"48,560",1013
"Shelby County, KY",21211,"48,518",1014
"Douglas County, NV",32005,"48,467",1015
"Crittenden County, AR",5035,"48,342",1016
"Jackson County, FL",12063,"48,305",1017
"Henry County, IN",18065,"48,271",1018
"Carter County, OK",40019,"48,177",1019
"Bedford County, PA",42009,"48,176",1020
"Fremont County, CO",8043,"48,021",1021
"Cortland County, NY",36023,"47,823",1022
"Burnet County, TX",48053,"47,542",1023
"Chenango County, NY",36017,"47,536",1024
"Noble County, IN",18113,"47,532",1025
"Greene County, NY",36039,"47,491",1026
"Kittitas County, WA",53037,"47,364",1027
"Hancock County, MS",28045,"47,334",1028
"Laurens County, GA",13175,"47,325",1029
"Logan County, OK",40083,"47,291",1030
"Boyd County, KY",21019,"47,240",1031
"Lincoln Parish, LA",22061,"47,196",1032
"Bryan County, OK",40013,"47,192",1033
"Beaufort County, NC",37013,"47,079",1034
"Osage County, OK",40113,"47,014",1035
"Beltrami County, MN",27007,"46,847",1036
"St. Bernard Parish, LA",22087,"46,721",1037
"Washington Parish, LA",22117,"46,582",1038
"Clinton County, IA",19045,"46,518",1039
"Santa Cruz County, AZ",4023,"46,511",1040
"Allegany County, NY",36003,"46,430",1041
"Goodhue County, MN",27049,"46,403",1042
"Monroe County, TN",47123,"46,357",1043
"Marshall County, IN",18099,"46,248",1044
"Bingham County, ID",16011,"46,236",1045
"Mifflin County, PA",42087,"46,222",1046
"Warren County, MS",28149,"46,176",1047
"Campbell County, WY",56005,"46,140",1048
"Perry County, PA",42099,"46,139",1049
"Monroe, WI",55081,"46,051",1050
"Gadsden County, FL",12039,"45,894",1051
"Nelson County, KY",21179,"45,851",1052
"Camden County, MO",29029,"45,815",1053
"Auglaize County, OH",39011,"45,804",1054
"Chesterfield County, SC",45025,"45,754",1055
"Hillsdale County, MI",26059,"45,749",1056
"Lawrence County, IN",18093,"45,668",1057
"Kendall County, TX",48259,"45,641",1058
"Calaveras County, CA",6009,"45,602",1059
"Colquitt County, GA",13071,"45,592",1060
"Henderson County, KY",21101,"45,591",1061
"McDowell County, NC",37111,"45,507",1062
"Stokes County, NC",37169,"45,467",1063
"Habersham County, GA",13137,"45,388",1064
"Logan County, OH",39091,"45,358",1065
"Nye County, NV",32023,"45,346",1066
"Greene County, AR",5055,"45,325",1067
"Macoupin County, IL",17117,"45,313",1068
"Stevens County, WA",53065,"45,260",1069
"Huntingdon County, PA",42061,"45,168",1070
"Barron, WI",55005,"45,164",1071
"Dunn, WI",55033,"45,131",1072
"Wood County, TX",48499,"45,129",1073
"Itasca County, MN",27061,"45,108",1074
"Hopkins County, KY",21107,"45,068",1075
"Washington County, MS",28151,"45,063",1076
"Callaway County, MO",29027,"44,889",1077
"Richmond County, NC",37153,"44,887",1078
"Baldwin County, GA",13009,"44,823",1079
"Union County, PA",42119,"44,785",1080
"Stephenson County, IL",17177,"44,753",1081
"Phelps County, MO",29161,"44,732",1082
"Bonner County, ID",16017,"44,727",1083
"Shelby County, IN",18145,"44,593",1084
"Vance County, NC",37181,"44,582",1085
"Delaware County, NY",36025,"44,527",1086
"Thomas County, GA",13275,"44,448",1087
"Madison County, OH",39097,"44,413",1088
"Suwannee County, FL",12121,"44,191",1089
"Barren County, KY",21009,"44,176",1090
"Kay County, OK",40071,"44,161",1091
"Chilton County, AL",1021,"44,153",1092
"Jackson County, IN",18071,"44,111",1093
"Holmes County, OH",39075,"43,892",1094
"Pittsburg County, OK",40121,"43,877",1095
"Lawrence County, TN",47099,"43,734",1096
"Siskiyou County, CA",6093,"43,724",1097
"Jefferson County, PA",42065,"43,641",1098
"Branch County, MI",26023,"43,622",1099
"Brown County, OH",39015,"43,602",1100
"Polk, WI",55095,"43,598",1101
"Miller County, AR",5091,"43,592",1102
"Mecosta County, MI",26107,"43,545",1103
"Shenandoah County, VA",51171,"43,497",1104
"Jackson County, NC",37099,"43,327",1105
"Stephens County, OK",40137,"43,265",1106
"Caldwell County, TX",48055,"43,247",1107
"DeKalb County, IN",18033,"43,226",1108
"Douglas, WI",55031,"43,208",1109
"St. John the Baptist Parish, LA",22095,"43,184",1110
"Ravalli County, MT",30081,"43,172",1111
"Sullivan, NH",33019,"43,144",1112
"Coffee County, GA",13069,"43,093",1113
"Highland County, OH",39071,"43,058",1114
"Sweetwater County, WY",56037,"43,051",1115
"Fayette County, WV",54019,"43,018",1116
"Muscatine County, IA",19139,"42,929",1117
"Douglas County, WA",53017,"42,907",1118
"Kandiyohi County, MN",27067,"42,855",1119
"Windham County, VT",50025,"42,756",1120
"Davie County, NC",37059,"42,733",1121
"Delaware County, OK",40041,"42,733",1121
"Cerro Gordo County, IA",19033,"42,647",1123
"Butler County, MO",29023,"42,639",1124
"Dubois County, IN",18037,"42,565",1125
"Pierce, WI",55093,"42,555",1126
"Pettis County, MO",29159,"42,542",1127
"Polk County, GA",13233,"42,470",1128
"Chambers County, TX",48071,"42,454",1129
"Erath County, TX",48143,"42,446",1130
"Fulton County, OH",39051,"42,276",1131
"Montrose County, CO",8085,"42,214",1132
"Okanogan County, WA",53047,"42,132",1133
"Clinton County, OH",39027,"42,057",1134
"Wise + Norton, VA",51955,"41,980",1135
"Summit County, UT",49043,"41,933",1136
"Franklin County, TN",47051,"41,890",1137
"Ohio County, WV",54069,"41,755",1138
"Wharton County, TX",48481,"41,619",1139
"Baxter County, AR",5005,"41,619",1139
"Hendry County, FL",12051,"41,556",1141
"Crawford County, OH",39033,"41,550",1142
"Okeechobee County, FL",12093,"41,537",1143
"Upshur County, TX",48459,"41,260",1144
"Mississippi County, AR",5093,"41,239",1145
"Sanilac County, MI",26151,"41,182",1146
"Sequoyah County, OK",40135,"41,179",1147
"Mayes County, OK",40097,"41,107",1148
"Preble County, OH",39135,"40,997",1149
"McKean County, PA",42083,"40,968",1150
"Mercer County, OH",39107,"40,959",1151
"Warren County, TN",47177,"40,878",1152
"Tazewell County, VA",51185,"40,855",1153
"Jim Wells County, TX",48249,"40,822",1154
"Shawano, WI",55115,"40,796",1155
"Levy County, FL",12075,"40,770",1156
"Ottawa County, OH",39123,"40,769",1157
"Tioga County, PA",42117,"40,763",1158
"Orleans County, NY",36073,"40,612",1159
"Gratiot County, MI",26057,"40,599",1160
"Susquehanna County, PA",42115,"40,589",1161
"Cooke County, TX",48097,"40,574",1162
"Tift County, GA",13277,"40,571",1163
"Benton County, MN",27009,"40,545",1164
"Snyder County, PA",42109,"40,540",1165
"Fayette County, TN",47047,"40,507",1166
"Tallapoosa County, AL",1123,"40,497",1167
"Avoyelles Parish, LA",22009,"40,462",1168
"Cheatham County, TN",47021,"40,439",1169
"Marinette, WI",55075,"40,434",1170
"Nez Perce County, ID",16069,"40,408",1171
"Harrison County, IN",18061,"40,350",1172
"Latah County, ID",16057,"40,134",1173
"Wyoming County, NY",36121,"40,085",1174
"Howell County, MO",29091,"40,076",1175
"Mower County, MN",27099,"40,011",1176
"Warren County, VA",51187,"40,003",1177
"McClain County, OK",40087,"39,985",1178
"Marshall County, IA",19127,"39,981",1179
"Isanti County, MN",27059,"39,966",1180
"Wayne County, WV",54099,"39,944",1181
"Murray County, GA",13213,"39,921",1182
"Knox County, ME",23013,"39,771",1183
"Clatsop County, OR",41007,"39,764",1184
"Waldo County, ME",23027,"39,694",1185
"Pasquotank County, NC",37139,"39,639",1186
"Campbell County, TN",47013,"39,583",1187
"Pike County, MS",28113,"39,563",1188
"Fremont County, WY",56013,"39,531",1189
"Person County, NC",37145,"39,507",1190
"Warren County, PA",42123,"39,498",1191
"Amador County, CA",6005,"39,383",1192
"LaGrange County, IN",18087,"39,330",1193
"Brown County, SD",46013,"39,316",1194
"Madison County, ID",16065,"39,304",1195
"Oconee County, GA",13219,"39,272",1196
"Des Moines County, IA",19057,"39,138",1197
"Calloway County, KY",21035,"39,135",1198
"Union County, AR",5139,"39,126",1199
"Webster County, MO",29225,"39,109",1200
"Guernsey County, OH",39059,"39,022",1201
"Crawford County, KS",20037,"39,019",1202
"Rio Arriba County, NM",35039,"39,006",1203
"Webster Parish, LA",22119,"38,798",1204
"Clarion County, PA",42031,"38,779",1205
"Champaign County, OH",39021,"38,754",1206
"Franklin County, IL",17055,"38,701",1207
"Clinton County, PA",42035,"38,684",1208
"Natchitoches Parish, LA",22069,"38,659",1209
"Albany County, WY",56001,"38,601",1210
"Newberry County, SC",45071,"38,520",1211
"Woodford County, IL",17203,"38,463",1212
"Scott County, MO",29201,"38,458",1213
"Lawrence County, MO",29109,"38,359",1214
"Montgomery County, IN",18107,"38,346",1215
"Okmulgee County, OK",40111,"38,335",1216
"Dallas County, AL",1047,"38,310",1217
"Pontotoc County, OK",40123,"38,247",1218
"Defiance County, OH",39039,"38,165",1219
"Bryan County, GA",13029,"38,109",1220
"Graham County, AZ",4009,"38,072",1221
"Douglas County, MN",27041,"37,964",1222
"Cass County, IN",18017,"37,955",1223
"Brown County, TX",48049,"37,924",1224
"Oconto, WI",55083,"37,830",1225
"Jefferson County, IL",17081,"37,820",1226
"Putnam County, IN",18133,"37,779",1227
"Independence County, AR",5063,"37,678",1228
"Colleton County, SC",45029,"37,660",1229
"Clinton County, IL",17027,"37,639",1230
"Marion County, IL",17121,"37,620",1231
"Yadkin County, NC",37197,"37,543",1232
"Chippewa County, MI",26033,"37,517",1233
"DeSoto County, FL",12027,"37,489",1234
"Boone County, AR",5009,"37,480",1235
"Alexander County, NC",37003,"37,353",1236
"Gloucester County, VA",51073,"37,349",1237
"Dyer County, TN",47045,"37,320",1238
"Graves County, KY",21083,"37,317",1239
"Essex County, NY",36031,"37,300",1240
"Beauregard Parish, LA",22011,"37,253",1241
"Jasper County, IA",19099,"37,147",1242
"Covington County, AL",1039,"36,986",1243
"Addison County, VT",50001,"36,973",1244
"Talbot County, MD",24041,"36,968",1245
"Isle of Wight County, VA",51093,"36,953",1246
"Green, WI",55045,"36,929",1247
"Alcorn County, MS",28003,"36,925",1248
"Knox County, IN",18083,"36,895",1249
"Hopkins County, TX",48223,"36,810",1250
"Williams County, OH",39171,"36,804",1251
"Steele County, MN",27147,"36,803",1252
"Dodge County, NE",31053,"36,791",1253
"Louisa County, VA",51109,"36,778",1254
"Escambia County, AL",1053,"36,748",1255
"Orange County, VA",51137,"36,644",1256
"Coshocton County, OH",39031,"36,629",1257
"Finney County, KS",20055,"36,611",1258
"Matagorda County, TX",48321,"36,552",1259
"Greene County, PA",42059,"36,506",1260
"Dare County, NC",37055,"36,501",1261
"Howard County, TX",48227,"36,459",1262
"Hill County, TX",48217,"36,354",1263
"Webster County, IA",19187,"36,277",1264
"Clark County, KY",21049,"36,249",1265
"Whitley County, KY",21235,"36,242",1266
"Huntington County, IN",18069,"36,240",1267
"Houghton County, MI",26061,"36,219",1268
"Rockbridge, Buena Vista + Lexington, VA",51945,"36,125",1269
"Carroll + Galax, VA",51913,"36,059",1270
"Perry County, OH",39127,"36,033",1271
"Scotts Bluff County, NE",31157,"35,989",1272
"Barry County, MO",29009,"35,886",1273
"McLeod County, MN",27085,"35,873",1274
"Jasper County, TX",48241,"35,872",1275
"Delta County, MI",26041,"35,857",1276
"Floyd County, KY",21071,"35,845",1277
"Carlton County, MN",27017,"35,837",1278
"Cocke County, TN",47029,"35,774",1279
"Livingston County, IL",17105,"35,761",1280
"Laclede County, MO",29105,"35,713",1281
"Ware County, GA",13299,"35,680",1282
"Adams County, IN",18001,"35,636",1283
"Sagadahoc County, ME",23023,"35,634",1284
"Bennington County, VT",50003,"35,631",1285
"Miami County, IN",18103,"35,567",1286
"Monroe County, MS",28095,"35,564",1287
"Oneida, WI",55085,"35,470",1288
"Marshall County, MS",28093,"35,451",1289
"Uintah County, UT",49047,"35,438",1290
"Madison County, NE",31119,"35,392",1291
"Williams County, ND",38105,"35,350",1292
"Fannin County, TX",48147,"35,286",1293
"Macon County, NC",37113,"35,285",1294
"Greenup County, KY",21089,"35,268",1295
"Brookings County, SD",46011,"35,232",1296
"Cowley County, KS",20035,"35,218",1297
"Wapello County, IA",19179,"35,205",1298
"Lincoln County, NE",31111,"35,185",1299
"Morrow County, OH",39117,"35,112",1300
"Washington County, TX",48477,"35,108",1301
"Silver Bow County, MT",30093,"34,993",1302
"Lincoln County, OK",40081,"34,920",1303
"Sioux County, IA",19167,"34,909",1304
"Fulton County, IL",17057,"34,844",1305
"Scotland County, NC",37165,"34,810",1306
"Greenbrier County, WV",54025,"34,786",1307
"Warren County, MO",29219,"34,711",1308
"Clark, WI",55019,"34,709",1309
"Steuben County, IN",18151,"34,586",1310
"Harris County, GA",13145,"34,475",1311
"Becker County, MN",27005,"34,371",1312
"Lincoln County, ME",23015,"34,342",1313
"Monroe County, IL",17133,"34,335",1314
"Seneca County, NY",36099,"34,300",1315
"Lee County, IL",17103,"34,223",1316
"Nicollet County, MN",27103,"34,220",1317
"Transylvania County, NC",37175,"34,215",1318
"Harvey County, KS",20079,"34,210",1319
"Effingham County, IL",17049,"34,208",1320
"Lincoln County, MS",28085,"34,205",1321
"Panola County, MS",28107,"34,178",1322
"Halifax County, VA",51083,"34,120",1323
"Lincoln County, TN",47103,"34,117",1324
"Whitley County, IN",18183,"34,074",1325
"Pulaski County, VA",51155,"34,066",1326
"Lee County, IA",19111,"34,055",1327
"Morgan County, IL",17137,"33,976",1328
"Ford County, KS",20057,"33,888",1329
"Preston County, WV",54077,"33,839",1330
"Hale County, TX",48189,"33,830",1331
"Putnam County, OH",39137,"33,780",1332
"Hot Spring County, AR",5059,"33,701",1333
"Clarendon County, SC",45027,"33,700",1334
"Marshall County, TN",47117,"33,683",1335
"Miami County, KS",20121,"33,680",1336
"Chambers County, AL",1017,"33,615",1337
"Wexford County, MI",26165,"33,466",1338
"Gibson County, IN",18051,"33,452",1339
"Evangeline Parish, LA",22039,"33,443",1340
"Weakley County, TN",47183,"33,415",1341
"Marion County, IA",19125,"33,407",1342
"Lyon County, KS",20111,"33,406",1343
"Jasper County, IN",18073,"33,370",1344
"Platte County, NE",31141,"33,363",1345
"Pike County, AL",1109,"33,338",1346
"Emmet County, MI",26047,"33,308",1347
"Caroline County, MD",24011,"33,304",1348
