County,FIPS Code,2017 ACS Population - High School Diploma or More as a percent of 2017 ACS Population - Population 25 and Over,Rank,,,,
"Thayer County, NE",31169,92.00%,561,,,,
"Johnson County, MO",29101,92.00%,561,,,,
"Jo Daviess County, IL",17085,92.00%,561,,,,
"Bergen County, NJ",34003,92.00%,561,,,,
"Stanton County, NE",31167,92.00%,561,,,,
"Stearns County, MN",27145,92.00%,561,,,,
"Litchfield County, CT",9005,92.00%,561,,,,
"Clallam County, WA",53009,92.00%,561,,,,
"Franklin County, KS",20059,92.00%,561,,,,
"Nez Perce County, ID",16069,92.00%,561,,,,
"Barry County, MI",26015,92.00%,561,,,,
"Clark County, WA",53011,92.00%,561,,,,
"Bannock County, ID",16005,92.00%,561,,,,
"Anne Arundel County, MD",24003,92.00%,561,,,,
"Elk County, PA",42047,92.00%,561,,,,
"Osborne County, KS",20141,92.00%,561,,,,
"Houghton County, MI",26061,92.00%,561,,,,
"Ringgold County, IA",19159,92.00%,561,,,,
"Isabella County, MI",26073,92.00%,561,,,,
"Canadian County, OK",40017,92.00%,561,,,,
"Cavalier County, ND",38019,92.00%,561,,,,
"Iron County, MI",26071,91.90%,593,,,,
"Flagler County, FL",12035,91.90%,593,,,,
"Queen Anne's County, MD",24035,91.90%,593,,,,
"Webster County, NE",31181,91.90%,593,,,,
"Gove County, KS",20063,91.90%,593,,,,
"Snohomish County, WA",53061,91.90%,593,,,,
"Minnehaha County, SD",46099,91.90%,593,,,,
"Washington County, KS",20201,91.90%,593,,,,
"Weston County, WY",56045,91.90%,593,,,,
"Chesterfield County, VA",51041,91.90%,593,,,,
"Ketchikan Gateway Borough, AK",2130,91.90%,593,,,,
"Cascade County, MT",30013,91.90%,593,,,,
"Mason County, MI",26105,91.90%,593,,,,
"Monroe County, IN",18105,91.90%,593,,,,
"Portage County, OH",39133,91.90%,593,,,,
"Tooele County, UT",49045,91.90%,593,,,,
"Putnam County, WV",54079,91.90%,593,,,,
"New London County, CT",9011,91.90%,593,,,,
"Yakutat Borough, AK",2282,91.90%,593,,,,
"Cumberland County, PA",42041,91.90%,593,,,,
"Neosho County, KS",20133,91.90%,593,,,,
"Mahaska County, IA",19123,91.90%,593,,,,
"Fairfield County, OH",39045,91.90%,593,,,,
"Montgomery County, TN",47125,91.80%,616,,,,
"Fond du Lac, WI",55039,91.80%,616,,,,
"Hardin County, IA",19083,91.80%,616,,,,
"Sheridan County, MT",30091,91.80%,616,,,,
"Humboldt County, IA",19091,91.80%,616,,,,
"Hillsborough, NH",33011,91.80%,616,,,,
"Kauai County, HI",15007,91.80%,616,,,,
"Ashland, WI",55003,91.80%,616,,,,
"Pratt County, KS",20151,91.80%,616,,,,
"Uinta County, WY",56041,91.80%,616,,,,
"Marathon, WI",55073,91.80%,616,,,,
"Rensselaer County, NY",36083,91.80%,616,,,,
"Rutland County, VT",50021,91.80%,616,,,,
"Brevard County, FL",12009,91.70%,629,,,,
"Monongalia County, WV",54061,91.70%,629,,,,
"Clinton County, IA",19045,91.70%,629,,,,
"Bowman County, ND",38011,91.70%,629,,,,
"Rockwall County, TX",48397,91.70%,629,,,,
"Johnson County, IN",18081,91.70%,629,,,,
"Fulton County, GA",13121,91.70%,629,,,,
"Isanti County, MN",27059,91.70%,629,,,,
"Warren County, NY",36113,91.70%,629,,,,
"Box Butte County, NE",31013,91.70%,629,,,,
"Morton County, ND",38059,91.70%,629,,,,
"Pepin, WI",55091,91.70%,629,,,,
"Codington County, SD",46029,91.70%,629,,,,
"Adams County, IL",17001,91.70%,629,,,,
"Rogers County, OK",40131,91.70%,629,,,,
"Perkins County, SD",46105,91.70%,629,,,,
"Fluvanna County, VA",51065,91.70%,629,,,,
"Nelson County, ND",38063,91.70%,629,,,,
"Buffalo, WI",55011,91.70%,629,,,,
"Grant, WI",55043,91.70%,629,,,,
"Grant County, OK",40053,91.70%,629,,,,
"Brown County, MN",27015,91.70%,629,,,,
"Randall County, TX",48381,91.70%,629,,,,
"Christian County, MO",29043,91.70%,629,,,,
"Sumter County, FL",12119,91.60%,653,,,,
"Leavenworth County, KS",20103,91.60%,653,,,,
"Okaloosa County, FL",12091,91.60%,653,,,,
"Le Sueur County, MN",27079,91.60%,653,,,,
"De Witt County, IL",17039,91.60%,653,,,,
"Logan County, KS",20109,91.60%,653,,,,
"Shawnee County, KS",20177,91.60%,653,,,,
"Erie County, OH",39043,91.60%,653,,,,
"Mountrail County, ND",38061,91.60%,653,,,,
"Pike County, PA",42103,91.60%,653,,,,
"Winnebago County, IA",19189,91.60%,653,,,,
"Chaffee County, CO",8015,91.60%,653,,,,
"Keith County, NE",31101,91.60%,653,,,,
"Knox County, NE",31107,91.60%,653,,,,
"Otsego County, MI",26137,91.60%,653,,,,
"Camden County, GA",13039,91.50%,668,,,,
"Wallace County, KS",20199,91.50%,668,,,,
"Wahkiakum County, WA",53069,91.50%,668,,,,
"Richardson County, NE",31147,91.50%,668,,,,
"Clark County, IL",17023,91.50%,668,,,,
"Lincoln County, MN",27081,91.50%,668,,,,
"Carroll County, IL",17015,91.50%,668,,,,
"Kent County, RI",44003,91.50%,668,,,,
"Bonneville County, ID",16019,91.50%,668,,,,
"Southeast Fairbanks Borough, AK",2240,91.50%,668,,,,
"Lane County, OR",41039,91.50%,668,,,,
"Jackson County, IA",19097,91.50%,668,,,,
"Clatsop County, OR",41007,91.50%,668,,,,
"Greene County, MO",29077,91.50%,668,,,,
"Bryan County, GA",13029,91.50%,668,,,,
"Morgan County, IL",17137,91.50%,668,,,,
"Bottineau County, ND",38009,91.50%,668,,,,
"Mathews County, VA",51115,91.40%,685,,,,
"Albemarle County, VA",51003,91.40%,685,,,,
"Silver Bow County, MT",30093,91.40%,685,,,,
"Alexandria Independent City, VA",51510,91.40%,685,,,,
"Brown, WI",55009,91.40%,685,,,,
"Stephenson County, IL",17177,91.40%,685,,,,
"McPherson County, KS",20113,91.40%,685,,,,
"Polk County, IA",19153,91.40%,685,,,,
"Washington County, IA",19183,91.40%,685,,,,
"Goshen County, WY",56015,91.40%,685,,,,
"Cass County, MN",27021,91.40%,685,,,,
"Fauquier County, VA",51061,91.40%,685,,,,
"Cole County, MO",29051,91.40%,685,,,,
"Cleveland County, OK",40027,91.40%,685,,,,
"Delaware County, IA",19055,91.40%,685,,,,
"Honolulu County, HI",15003,91.40%,685,,,,
"Onslow County, NC",37133,91.40%,685,,,,
"Penobscot County, ME",23019,91.40%,685,,,,
"Manitowoc, WI",55071,91.40%,685,,,,
"Jefferson, WI",55055,91.40%,685,,,,
"Jersey County, IL",17083,91.40%,685,,,,
"Sawyer, WI",55113,91.40%,685,,,,
"Burke County, ND",38013,91.40%,685,,,,
"Webster County, IA",19187,91.40%,685,,,,
"Lincoln County, NM",35027,91.40%,685,,,,
"Union County, SD",46127,91.40%,685,,,,
"Nassau County, FL",12089,91.40%,685,,,,
"Payne County, OK",40119,91.30%,712,,,,
"Calhoun County, IL",17013,91.30%,712,,,,
"Ramsey County, ND",38071,91.30%,712,,,,
"Wells County, IN",18179,91.30%,712,,,,
"Union County, IA",19175,91.30%,712,,,,
"Washington County, OR",41067,91.30%,712,,,,
"Andrew County, MO",29003,91.30%,712,,,,
"Campbell County, WY",56005,91.30%,712,,,,
"Otter Tail County, MN",27111,91.30%,712,,,,
"Kennebec County, ME",23011,91.30%,712,,,,
"Marshall County, SD",46091,91.30%,712,,,,
"Goochland County, VA",51075,91.30%,712,,,,
"Cloud County, KS",20029,91.30%,712,,,,
"Aitkin County, MN",27001,91.30%,712,,,,
"Polk County, MN",27119,91.30%,712,,,,
"Decatur County, KS",20039,91.30%,712,,,,
"Fredericksburg Independent City, VA",51630,91.30%,712,,,,
"Tippecanoe County, IN",18157,91.30%,712,,,,
"Sweetwater County, WY",56037,91.30%,712,,,,
"Menominee, WI",55078,91.30%,712,,,,
"Summit County, OH",39153,91.30%,712,,,,
"Rooks County, KS",20163,91.20%,733,,,,
"Pierce County, WA",53053,91.20%,733,,,,
"Holt County, MO",29087,91.20%,733,,,,
"Marinette, WI",55075,91.20%,733,,,,
"Clayton County, IA",19043,91.20%,733,,,,
"Cobb County, GA",13067,91.20%,733,,,,
"Waupaca, WI",55135,91.20%,733,,,,
"Garfield County, UT",49017,91.20%,733,,,,
"Faulkner County, AR",5045,91.20%,733,,,,
"Eureka County, NV",32011,91.20%,733,,,,
"McLean County, ND",38055,91.20%,733,,,,
"Monroe County, FL",12087,91.20%,733,,,,
"Fillmore County, MN",27045,91.20%,733,,,,
"Otoe County, NE",31131,91.20%,733,,,,
"Archer County, TX",48009,91.20%,733,,,,
"Henrico County, VA",51087,91.20%,733,,,,
"Ocean County, NJ",34029,91.20%,733,,,,
"Ness County, KS",20135,91.20%,733,,,,
"Harvey County, KS",20079,91.20%,733,,,,
"Carter County, MT",30011,91.20%,733,,,,
"Tama County, IA",19171,91.10%,753,,,,
"Genesee County, NY",36037,91.10%,753,,,,
"Montgomery County, IA",19137,91.10%,753,,,,
"Erie County, NY",36029,91.10%,753,,,,
"Clay County, FL",12019,91.10%,753,,,,
"Oxford County, ME",23017,91.10%,753,,,,
"Yankton County, SD",46135,91.10%,753,,,,
"Bonner County, ID",16017,91.10%,753,,,,
"Kittitas County, WA",53037,91.10%,753,,,,
"Fremont County, WY",56013,91.10%,753,,,,
"Monona County, IA",19133,91.10%,753,,,,
"Fulton County, OH",39051,91.10%,753,,,,
"Baltimore County, MD",24005,91.10%,753,,,,
"Shelby County, IA",19165,91.10%,753,,,,
"Black Hawk County, IA",19013,91.10%,753,,,,
"Bennington County, VT",50003,91.10%,753,,,,
"Madison County, NY",36053,91.10%,753,,,,
"Russell County, KS",20167,91.10%,753,,,,
"Grand County, UT",49019,91.10%,753,,,,
"Whitley County, IN",18183,91.10%,753,,,,
"Lincoln County, WA",53043,91.10%,753,,,,
"Montgomery County, MD",24031,91.10%,753,,,,
"Stark County, ND",38089,91.10%,753,,,,
"Dewey County, OK",40043,91.10%,753,,,,
"Bureau County, IL",17011,91.10%,753,,,,
"Alpena County, MI",26007,91.00%,778,,,,
"Taylor County, IA",19173,91.00%,778,,,,
"Calhoun County, MI",26025,91.00%,778,,,,
"Otsego County, NY",36077,91.00%,778,,,,
"Oneida County, ID",16071,91.00%,778,,,,
"Sanborn County, SD",46111,91.00%,778,,,,
"Lincoln, WI",55069,91.00%,778,,,,
"Antrim County, MI",26009,91.00%,778,,,,
"Mercer County, ND",38057,91.00%,778,,,,
"Charleston County, SC",45019,91.00%,778,,,,
"Roger Mills County, OK",40129,91.00%,778,,,,
"Richland County, ND",38077,91.00%,778,,,,
"Beltrami County, MN",27007,91.00%,778,,,,
"Traverse County, MN",27155,91.00%,778,,,,
"Shawano, WI",55115,91.00%,778,,,,
"Nassau County, NY",36059,91.00%,778,,,,
"Multnomah County, OR",41051,91.00%,778,,,,
"Harlan County, NE",31083,91.00%,778,,,,
"Stutsman County, ND",38093,91.00%,778,,,,
"Walworth, WI",55127,91.00%,778,,,,
"Niagara County, NY",36063,91.00%,778,,,,
"Warren County, IN",18171,91.00%,778,,,,
"New Castle County, DE",10003,91.00%,778,,,,
"Ravalli County, MT",30081,91.00%,778,,,,
"Fayette County, IA",19065,91.00%,778,,,,
"Sauk, WI",55111,91.00%,778,,,,
"Shelby County, MO",29205,91.00%,778,,,,
"Erie County, PA",42049,90.90%,805,,,,
"Madison County, MS",28089,90.90%,805,,,,
"Carbon County, WY",56007,90.90%,805,,,,
"Knox County, TN",47093,90.90%,805,,,,
"Lake County, MT",30047,90.90%,805,,,,
"Williamson County, IL",17199,90.90%,805,,,,
"Osage County, KS",20139,90.90%,805,,,,
"Knox County, OH",39083,90.90%,805,,,,
"Liberty County, GA",13179,90.90%,805,,,,
"Burt County, NE",31021,90.90%,805,,,,
"Essex County, NY",36031,90.90%,805,,,,
"Davison County, SD",46035,90.90%,805,,,,
"Dolores County, CO",8033,90.90%,805,,,,
"Rutherford County, TN",47149,90.80%,818,,,,
"Cherokee County, GA",13057,90.80%,818,,,,
"Rush County, KS",20165,90.80%,818,,,,
"Carteret County, NC",37031,90.80%,818,,,,
"Coles County, IL",17029,90.80%,818,,,,
"Campbell County, SD",46021,90.80%,818,,,,
"Buncombe County, NC",37021,90.80%,818,,,,
"Ellsworth County, KS",20053,90.80%,818,,,,
"Chickasaw County, IA",19037,90.80%,818,,,,
"Will County, IL",17197,90.80%,818,,,,
"Antelope County, NE",31003,90.80%,818,,,,
"Madison County, AL",1089,90.80%,818,,,,
"Hughes County, SD",46065,90.80%,818,,,,
"Norman County, MN",27107,90.80%,818,,,,
"Lenawee County, MI",26091,90.80%,818,,,,
"Berkshire County, MA",25003,90.80%,818,,,,
"Dearborn County, IN",18029,90.80%,818,,,,
"Cape May County, NJ",34009,90.80%,818,,,,
"Onondaga County, NY",36067,90.80%,818,,,,
"Powhatan County, VA",51145,90.80%,818,,,,
"Seneca County, OH",39147,90.80%,818,,,,
"Warren County, NJ",34041,90.80%,818,,,,
"Montour County, PA",42093,90.80%,818,,,,
"Gibson County, IN",18051,90.80%,818,,,,
"Day County, SD",46037,90.80%,818,,,,
"Anderson County, KS",20003,90.80%,818,,,,
"Faribault County, MN",27043,90.80%,818,,,,
"Beaver County, UT",49001,90.80%,818,,,,
"Sedgwick County, CO",8115,90.80%,818,,,,
"Monroe County, MO",29137,90.80%,818,,,,
"Cambria County, PA",42021,90.80%,818,,,,
"Monroe, WI",55081,90.80%,818,,,,
"Franklin County, VT",50011,90.70%,850,,,,
"Nance County, NE",31125,90.70%,850,,,,
"Cherokee County, IA",19035,90.70%,850,,,,
"Blair County, PA",42013,90.70%,850,,,,
"Wilson County, TN",47189,90.70%,850,,,,
"Defiance County, OH",39039,90.70%,850,,,,
"Langlade, WI",55067,90.70%,850,,,,
"Brooke County, WV",54009,90.70%,850,,,,
"Franklin County, ID",16041,90.70%,850,,,,
"Clay County, IN",18021,90.70%,850,,,,
"Sullivan, NH",33019,90.70%,850,,,,
"Sheridan County, NE",31161,90.70%,850,,,,
"Northumberland County, VA",51133,90.70%,850,,,,
"Tuolumne County, CA",6109,90.70%,850,,,,
"Houston County, GA",13153,90.70%,850,,,,
"Polk County, OR",41053,90.70%,850,,,,
"Yellow Medicine County, MN",27173,90.70%,850,,,,
"Pinellas County, FL",12103,90.70%,850,,,,
"St. Clair County, IL",17163,90.70%,850,,,,
"Bell County, TX",48027,90.70%,850,,,,
"Kingsbury County, SD",46077,90.70%,850,,,,
"Allegan County, MI",26005,90.70%,850,,,,
"Lapeer County, MI",26087,90.70%,850,,,,
"Shasta County, CA",6089,90.70%,850,,,,
"Edmunds County, SD",46045,90.70%,850,,,,
"Hampton Independent City, VA",51650,90.70%,850,,,,
"Ulster County, NY",36111,90.70%,850,,,,
"Santa Rosa County, FL",12113,90.70%,850,,,,
"Franklin County, OH",39049,90.60%,878,,,,
"Stark County, OH",39151,90.60%,878,,,,
"Clarke County, IA",19039,90.60%,878,,,,
"Richland County, SC",45079,90.60%,878,,,,
"Cheboygan County, MI",26031,90.60%,878,,,,
"Craig County, VA",51045,90.60%,878,,,,
"Barron, WI",55005,90.60%,878,,,,
"Clark County, SD",46025,90.60%,878,,,,
"Macoupin County, IL",17117,90.60%,878,,,,
"Shelby County, OH",39149,90.60%,878,,,,
"Caledonia County, VT",50005,90.60%,878,,,,
"Golden Valley County, ND",38033,90.60%,878,,,,
"Washington County, OK",40147,90.60%,878,,,,
"Northampton County, PA",42095,90.60%,878,,,,
"Lackawanna County, PA",42069,90.60%,878,,,,
"Lamar County, MS",28073,90.60%,878,,,,
"Lyon County, IA",19119,90.60%,878,,,,
"Manistee County, MI",26101,90.60%,878,,,,
"Cortland County, NY",36023,90.60%,878,,,,
"Escambia County, FL",12033,90.60%,878,,,,
"Humboldt County, CA",6023,90.50%,898,,,,
"Audubon County, IA",19009,90.50%,898,,,,
"Mahoning County, OH",39099,90.50%,898,,,,
"Musselshell County, MT",30065,90.50%,898,,,,
"Columbia County, WA",53013,90.50%,898,,,,
"Wyandot County, OH",39175,90.50%,898,,,,
"Oconto, WI",55083,90.50%,898,,,,
"Adair County, MO",29001,90.50%,898,,,,
"Charlottesville Independent City, VA",51540,90.50%,898,,,,
"Mitchell County, IA",19131,90.50%,898,,,,
"McHenry County, ND",38049,90.50%,898,,,,
"Fayette County, KY",21067,90.50%,898,,,,
"Big Horn County, WY",56003,90.50%,898,,,,
"Camas County, ID",16025,90.50%,898,,,,
"Huntington County, IN",18069,90.50%,898,,,,
"Rock County, MN",27133,90.50%,898,,,,
"Archuleta County, CO",8007,90.50%,898,,,,
"Huerfano County, CO",8055,90.50%,898,,,,
"Campbell County, KY",21037,90.50%,898,,,,
"Pulaski County, MO",29169,90.50%,898,,,,
"Colonial Heights Independent City, VA",51570,90.50%,898,,,,
"Hamilton County, OH",39061,90.50%,898,,,,
"Columbia County, OR",41009,90.50%,898,,,,
"Vermillion County, IN",18165,90.50%,898,,,,
"Cumberland County, NC",37051,90.50%,898,,,,
"San Luis Obispo County, CA",6079,90.50%,898,,,,
"Logan County, OK",40083,90.50%,898,,,,
"Monroe County, MI",26115,90.50%,898,,,,
"Dutchess County, NY",36027,90.50%,898,,,,
"Wright County, IA",19197,90.50%,898,,,,
"Chemung County, NY",36015,90.40%,928,,,,
"Kenosha, WI",55059,90.40%,928,,,,
"Jackson County, MI",26075,90.40%,928,,,,
"Pierce County, ND",38069,90.40%,928,,,,
"Broome County, NY",36007,90.40%,928,,,,
"Piscataquis County, ME",23021,90.40%,928,,,,
"Rice County, MN",27131,90.40%,928,,,,
"Bourbon County, KS",20011,90.40%,928,,,,
"Sandoval County, NM",35043,90.40%,928,,,,
"Haakon County, SD",46055,90.40%,928,,,,
"Stark County, IL",17175,90.40%,928,,,,
"Skamania County, WA",53059,90.40%,928,,,,
"Price, WI",55099,90.40%,928,,,,
"Pawnee County, KS",20145,90.40%,928,,,,
"Pulaski County, AR",5119,90.40%,928,,,,
"Sibley County, MN",27143,90.40%,928,,,,
"Belmont County, OH",39013,90.40%,928,,,,
"Bristol County, RI",44001,90.40%,928,,,,
"Grant County, SD",46051,90.40%,928,,,,
"Jefferson County, NE",31095,90.30%,947,,,,
"Jefferson County, OH",39081,90.30%,947,,,,
"Marshall County, WV",54051,90.30%,947,,,,
"Converse County, WY",56009,90.30%,947,,,,
"Esmeralda County, NV",32009,90.30%,947,,,,
"Cheyenne County, CO",8017,90.30%,947,,,,
"Crawford County, KS",20037,90.30%,947,,,,
"Logan County, OH",39091,90.30%,947,,,,
"Crawford, WI",55023,90.30%,947,,,,
"Kidder County, ND",38043,90.30%,947,,,,
"Hoonah-Angoon Borough, AK",2105,90.30%,947,,,,
"Licking County, OH",39089,90.30%,947,,,,
"Monroe County, NY",36055,90.30%,947,,,,
"Geauga County, OH",39055,90.30%,947,,,,
"Martin County, FL",12085,90.30%,947,,,,
"Cape Girardeau County, MO",29031,90.30%,947,,,,
"Chippewa County, MN",27023,90.30%,947,,,,
"Norton County, KS",20137,90.30%,947,,,,
"District of Columbia, DC",11001,90.30%,947,,,,
"Lake County, IL",17097,90.30%,947,,,,
"Jefferson County, NY",36045,90.30%,947,,,,
"Worcester County, MA",25027,90.30%,947,,,,
"Deuel County, SD",46039,90.30%,947,,,,
"Butte County, SD",46019,90.30%,947,,,,
"Cottonwood County, MN",27033,90.30%,947,,,,
"Bartholomew County, IN",18005,90.20%,972,,,,
"Hardin County, KY",21093,90.20%,972,,,,
"Mineral County, WV",54057,90.20%,972,,,,
"Dickinson County, KS",20041,90.20%,972,,,,
"Baldwin County, AL",1003,90.20%,972,,,,
"Yavapai County, AZ",4025,90.20%,972,,,,
"Schenectady County, NY",36093,90.20%,972,,,,
"Linn County, OR",41043,90.20%,972,,,,
"East Baton Rouge Parish, LA",22033,90.20%,972,,,,
"Mesa County, CO",8077,90.20%,972,,,,
"Pondera County, MT",30073,90.20%,972,,,,
"Moore County, NC",37125,90.20%,972,,,,
"Monroe County, IA",19135,90.20%,972,,,,
"Grant County, ND",38037,90.20%,972,,,,
"Salt Lake County, UT",49035,90.20%,972,,,,
"Hamilton County, IL",17065,90.20%,972,,,,
"Rock, WI",55105,90.20%,972,,,,
"McKean County, PA",42083,90.20%,972,,,,
"Suffolk County, NY",36103,90.10%,990,,,,
"Ransom County, ND",38073,90.10%,990,,,,
"Ramsey County, MN",27123,90.10%,990,,,,
"Butler County, OH",39017,90.10%,990,,,,
"Henry County, GA",13151,90.10%,990,,,,
"Washington County, OH",39167,90.10%,990,,,,
"Moffat County, CO",8081,90.10%,990,,,,
"Mercer County, PA",42085,90.10%,990,,,,
"Kiowa County, KS",20097,90.10%,990,,,,
"Ionia County, MI",26067,90.10%,990,,,,
"Saline County, AR",5125,90.10%,990,,,,
"Pawnee County, NE",31133,90.10%,990,,,,
"Dunn County, ND",38025,90.10%,990,,,,
"Mariposa County, CA",6043,90.10%,990,,,,
"Clay County, NE",31035,90.10%,990,,,,
"Deuel County, NE",31049,90.10%,990,,,,
"Doniphan County, KS",20043,90.10%,990,,,,
"Baker County, OR",41001,90.10%,990,,,,
"Saline County, KS",20169,90.10%,990,,,,
"Weber County, UT",49057,90.10%,990,,,,
"Lancaster County, VA",51103,90.10%,990,,,,
"St. Clair County, MI",26147,90.10%,990,,,,
"Richland, WI",55103,90.10%,990,,,,
"Grant County, AR",5053,90.10%,990,,,,
"Worcester County, MD",24047,90.10%,990,,,,
"Hill County, MT",30041,90.10%,990,,,,
"Wood County, WV",54107,90.10%,990,,,,
"McPherson County, NE",31117,90.10%,990,,,,
"Paulding County, GA",13223,90.10%,990,,,,
"Peoria County, IL",17143,90.00%,1019,,,,
"Paulding County, OH",39125,90.00%,1019,,,,
"Lemhi County, ID",16059,90.00%,1019,,,,
"Charlotte County, FL",12015,90.00%,1019,,,,
"Macon County, IL",17115,90.00%,1019,,,,
"Brown County, IN",18013,90.00%,1019,,,,
"Calaveras County, CA",6009,90.00%,1019,,,,
"Cowley County, KS",20035,90.00%,1019,,,,
"Montezuma County, CO",8083,90.00%,1019,,,,
"Tioga County, NY",36107,90.00%,1019,,,,
"Prince of Wales-Hyder Borough, AK",2198,90.00%,1019,,,,
"Dorchester County, SC",45035,90.00%,1019,,,,
"Sevier County, UT",49041,90.00%,1019,,,,
"Adams County, NE",31001,90.00%,1019,,,,
"Salem Independent City, VA",51775,90.00%,1019,,,,
"Lake of the Woods County, MN",27077,90.00%,1019,,,,
"Sioux County, IA",19167,90.00%,1019,,,,
"Genesee County, MI",26049,90.00%,1019,,,,
"Blanco County, TX",48031,89.90%,1037,,,,
"New Haven County, CT",9009,89.90%,1037,,,,
"Muskegon County, MI",26121,89.90%,1037,,,,
"Lee County, AL",1081,89.90%,1037,,,,
"Armstrong County, TX",48011,89.90%,1037,,,,
"Pend Oreille County, WA",53051,89.90%,1037,,,,
"Comanche County, OK",40031,89.90%,1037,,,,
"Spotsylvania County, VA",51177,89.90%,1037,,,,
"Floyd County, IA",19067,89.90%,1037,,,,
"Elk County, KS",20049,89.90%,1037,,,,
"Clermont County, OH",39025,89.90%,1037,,,,
"Steuben County, NY",36101,89.90%,1037,,,,
"Tillamook County, OR",41057,89.90%,1037,,,,
"Barnes County, ND",38003,89.90%,1037,,,,
"Dodge, WI",55027,89.90%,1037,,,,
"Scott County, KY",21209,89.90%,1037,,,,
"Gillespie County, TX",48171,89.90%,1037,,,,
"Lafayette, WI",55065,89.90%,1037,,,,
"Gratiot County, MI",26057,89.90%,1037,,,,
"Greenwood County, KS",20073,89.90%,1037,,,,
"Lawrence County, PA",42073,89.90%,1037,,,,
"Eagle County, CO",8037,89.90%,1037,,,,
"Montgomery County, OH",39113,89.90%,1037,,,,
"Mecklenburg County, NC",37119,89.90%,1037,,,,
"Putnam County, MO",29171,89.90%,1037,,,,
"Curry County, OR",41015,89.90%,1037,,,,
"Asotin County, WA",53003,89.90%,1037,,,,
"Jackson County, MO",29095,89.90%,1037,,,,
"Lewis County, NY",36049,89.90%,1037,,,,
"Chippewa County, MI",26033,89.90%,1037,,,,
"Gage County, NE",31067,89.90%,1037,,,,
"Moody County, SD",46101,89.90%,1037,,,,
"Phillips County, MT",30071,89.90%,1037,,,,
"Idaho County, ID",16049,89.90%,1037,,,,
"Page County, IA",19145,89.80%,1071,,,,
"Spencer County, IN",18147,89.80%,1071,,,,
"Marion County, KS",20115,89.80%,1071,,,,
"Wagoner County, OK",40145,89.80%,1071,,,,
"Grant County, OR",41023,89.80%,1071,,,,
"Tioga County, PA",42117,89.80%,1071,,,,
"Herkimer County, NY",36043,89.80%,1071,,,,
"Orange County, NY",36071,89.80%,1071,,,,
"Kent County, MI",26081,89.80%,1071,,,,
"Osage County, MO",29151,89.80%,1071,,,,
"Mille Lacs County, MN",27095,89.80%,1071,,,,
"Gloucester County, VA",51073,89.80%,1071,,,,
"Fremont County, CO",8043,89.80%,1071,,,,
"Androscoggin County, ME",23001,89.80%,1071,,,,
"Billings County, ND",38007,89.80%,1071,,,,
"Trinity County, CA",6105,89.80%,1071,,,,
"Alpine County, CA",6003,89.80%,1071,,,,
"Dauphin County, PA",42043,89.80%,1071,,,,
"Union County, NC",37179,89.80%,1071,,,,
"Motley County, TX",48345,89.80%,1071,,,,
"Griggs County, ND",38039,89.80%,1071,,,,
"Lewis County, ID",16061,89.70%,1092,,,,
"Freeborn County, MN",27047,89.70%,1092,,,,
"Emmet County, IA",19063,89.70%,1092,,,,
"Redwood County, MN",27127,89.70%,1092,,,,
"Montgomery County, IN",18107,89.70%,1092,,,,
"Schuyler County, NY",36097,89.70%,1092,,,,
"Fort Bend County, TX",48157,89.70%,1092,,,,
"Caldwell County, MO",29025,89.70%,1092,,,,
"Douglas County, NE",31055,89.70%,1092,,,,
"White County, IL",17193,89.70%,1092,,,,
"Benton County, WA",53005,89.70%,1092,,,,
"Amador County, CA",6005,89.70%,1092,,,,
"Harney County, OR",41025,89.70%,1092,,,,
"Jefferson County, KY",21111,89.70%,1092,,,,
"Harding County, NM",35021,89.70%,1092,,,,
"Kimball County, NE",31105,89.70%,1092,,,,
"Bay County, MI",26017,89.70%,1092,,,,
"Rankin County, MS",28121,89.70%,1092,,,,
"Boundary County, ID",16021,89.70%,1092,,,,
"Mecosta County, MI",26107,89.70%,1092,,,,
"St. Mary's County, MD",24037,89.70%,1092,,,,
"Granite County, MT",30039,89.70%,1092,,,,
"Carbon County, UT",49007,89.70%,1092,,,,
"Custer County, ID",16037,89.70%,1092,,,,
"Williams County, OH",39171,89.70%,1092,,,,
"Schoolcraft County, MI",26153,89.70%,1092,,,,
"Greenlee County, AZ",4011,89.70%,1092,,,,
"DeKalb County, IN",18033,89.70%,1092,,,,
"Columbia County, PA",42037,89.70%,1092,,,,
"Jerauld County, SD",46073,89.70%,1092,,,,
"Coconino County, AZ",4005,89.70%,1092,,,,
"Champaign County, OH",39021,89.70%,1092,,,,
"Pottawattamie County, IA",19155,89.70%,1092,,,,
"Edwards County, IL",17047,89.60%,1125,,,,
"Goliad County, TX",48175,89.60%,1125,,,,
"Wabash County, IL",17185,89.60%,1125,,,,
"Trempealeau, WI",55121,89.60%,1125,,,,
"Appanoose County, IA",19007,89.60%,1125,,,,
"Wayne County, NY",36117,89.60%,1125,,,,
"King William County, VA",51101,89.60%,1125,,,,
"Volusia County, FL",12127,89.60%,1125,,,,
"Bedford + Bedford City, VA",51019,89.60%,1125,,,,
"Lyman County, SD",46085,89.60%,1125,,,,
"Atchison County, MO",29005,89.60%,1125,,,,
"Millard County, UT",49027,89.60%,1125,,,,
"Sumner County, TN",47165,89.60%,1125,,,,
"Staunton Independent City, VA",51790,89.60%,1125,,,,
"Prince George County, VA",51149,89.60%,1125,,,,
"Venango County, PA",42121,89.60%,1125,,,,
