County,FIPS Code,2017 ACS Population - High School Diploma or More as a percent of 2017 ACS Population - Population 25 and Over,Rank,,,,
"Meade County, SD",46093,94.70%,122,,,,
"Dakota County, MN",27037,94.70%,122,,,,
"Linn County, IA",19113,94.70%,122,,,,
"Dodge County, MN",27039,94.70%,122,,,,
"Beaverhead County, MT",30001,94.60%,134,,,,
"Hooker County, NE",31091,94.60%,134,,,,
"Piatt County, IL",17147,94.60%,134,,,,
"Boulder County, CO",8013,94.60%,134,,,,
"Fairbanks North Star Borough, AK",2090,94.60%,134,,,,
"Marquette County, MI",26103,94.60%,134,,,,
"Woodford County, IL",17203,94.60%,134,,,,
"Rawlins County, KS",20153,94.60%,134,,,,
"Jefferson County, WA",53031,94.50%,142,,,,
"Olmsted County, MN",27109,94.50%,142,,,,
"Broadwater County, MT",30007,94.50%,142,,,,
"Pierce, WI",55093,94.50%,142,,,,
"Sherburne County, MN",27141,94.50%,142,,,,
"Tompkins County, NY",36109,94.50%,142,,,,
"Borden County, TX",48033,94.50%,142,,,,
"St. Charles County, MO",29183,94.50%,142,,,,
"Placer County, CA",6061,94.50%,142,,,,
"Hampshire County, MA",25015,94.50%,142,,,,
"Blue Earth County, MN",27013,94.40%,152,,,,
"Madison County, IA",19121,94.40%,152,,,,
"Bayfield, WI",55007,94.40%,152,,,,
"Palo Alto County, IA",19147,94.40%,152,,,,
"St. Johns County, FL",12109,94.40%,152,,,,
"Washington, WI",55131,94.40%,152,,,,
"Valley County, ID",16085,94.40%,152,,,,
"Wright County, MN",27171,94.40%,152,,,,
"Sussex County, NJ",34037,94.40%,152,,,,
"Cass County, ND",38017,94.30%,161,,,,
"Oconee County, GA",13219,94.30%,161,,,,
"Somerset County, NJ",34035,94.30%,161,,,,
"Kitsap County, WA",53035,94.30%,161,,,,
"Jefferson County, CO",8059,94.30%,161,,,,
"Flathead County, MT",30029,94.30%,161,,,,
"Gosper County, NE",31073,94.30%,161,,,,
"James City County, VA",51095,94.30%,161,,,,
"Pierce County, NE",31139,94.30%,161,,,,
"Grand Forks County, ND",38035,94.30%,161,,,,
"Houston County, MN",27055,94.20%,171,,,,
"Lincoln County, KS",20105,94.20%,171,,,,
"La Crosse, WI",55063,94.20%,171,,,,
"Hancock County, ME",23009,94.20%,171,,,,
"Wood County, OH",39173,94.20%,171,,,,
"Cedar County, IA",19031,94.20%,171,,,,
"Clinton County, MI",26037,94.20%,171,,,,
"Daniels County, MT",30019,94.20%,171,,,,
"Boyd County, NE",31015,94.20%,171,,,,
"Williamsburg Independent City, VA",51830,94.20%,171,,,,
"Nantucket County, MA",25019,94.10%,181,,,,
"Montgomery County, PA",42091,94.10%,181,,,,
"Tolland County, CT",9013,94.10%,181,,,,
"Valley County, MT",30105,94.10%,181,,,,
"Seminole County, FL",12117,94.10%,181,,,,
"Butler County, PA",42019,94.10%,181,,,,
"Red Willow County, NE",31145,94.10%,181,,,,
"Allegheny County, PA",42003,94.10%,181,,,,
"York County, VA",51199,94.10%,181,,,,
"Chisago County, MN",27025,94.00%,190,,,,
"Garfield County, MT",30033,94.00%,190,,,,
"Emmet County, MI",26047,94.00%,190,,,,
"Adair County, IA",19001,94.00%,190,,,,
"Medina County, OH",39103,94.00%,190,,,,
"Kearney County, NE",31099,94.00%,190,,,,
"Middlesex County, CT",9007,94.00%,190,,,,
"Sweet Grass County, MT",30097,94.00%,190,,,,
"Washington County, RI",44009,94.00%,190,,,,
"Morris County, NJ",34027,94.00%,190,,,,
"York County, NE",31185,94.00%,190,,,,
"Utah County, UT",49049,94.00%,190,,,,
"Chittenden County, VT",50007,93.90%,202,,,,
"Iowa, WI",55049,93.90%,202,,,,
"McCone County, MT",30055,93.90%,202,,,,
"Arlington County, VA",51013,93.90%,202,,,,
"Thomas County, NE",31171,93.90%,202,,,,
"Saratoga County, NY",36091,93.90%,202,,,,
"Harding County, SD",46063,93.90%,202,,,,
"Norfolk County, MA",25021,93.90%,202,,,,
"Carlton County, MN",27017,93.90%,202,,,,
"Madison County, MT",30057,93.90%,202,,,,
"Hancock County, IN",18059,93.90%,202,,,,
